"","sp","sample.type","sp.type.combo","mass.g","log.mass","length.mm","width.mm","height.mm","density.gcm3","toughness","log.toughness","specific.toughness","peak.force","log.peak.force","specific.peak.force","fruit.diaspore"
"226","marp","diaspora","mar2diaspora",0.0913,-1.0395292224657,6.7,5,4.6,1.13153897243011,0.01067146475,-1.97177596584422,-0.932246743378524,19.61330006,1.29255067256982,2.33207989503552,"diaspore"
"229","marp","diaspora","mar2diaspora",0.0736,-1.1331221856625,5.6,4.7,4.1,1.30259513065055,0.008281337,-2.08189954185673,-0.948777356194232,14.70997504,1.1676119358139,2.3007341214764,"diaspore"
"230","marp","diaspora","mar2diaspora",0.0558,-1.25336580106242,5.1,4.1,3.8,1.34121359579065,0.00912266025,-2.03987849901517,-0.786512697952747,24.51662507,1.38946068548931,2.64282648655173,"diaspore"
"231","marp","diaspora","mar2diaspora",0.0531,-1.27490547891853,5.8,4.4,3.4,1.16878952768481,0.00597142775,-2.22392181798069,-0.949016339062161,19.61330006,1.29255067256982,2.56745615148835,"diaspore"
"232","marp","diaspora","mar2diaspora",0.0684,-1.16494389827988,5.2,4.4,4.4,1.29762374135636,0.01243022175,-1.90552112365583,-0.74057722537595,29.41995009,1.4686419316255,2.63358582990539,"diaspore"
"233","menl","diaspora","menldiaspora",0.5375,-0.269621531412357,16.8,8,6.9,1.1069588756715,0.0844883615,-1.07320311216806,-0.803581580755698,198.5846631,2.29794570444013,2.56756723585248,"diaspore"
"234","menl","diaspora","menldiaspora",0.4852,-0.314079207805465,16.6,7.7,6.8,1.06614050624759,0.156159354,-0.806431996263037,-0.492352788457572,226.5336157,2.3551326568114,2.66921186461687,"diaspore"
"235","moum","diaspora","moumdiaspora",0.111,-0.954677021213343,5.2,5.8,5.5,1.27799845791177,0.0340680795,-1.46765234797193,-0.512975326758584,49.03325014,1.69049068115329,2.64516770236663,"diaspore"
"236","moum","diaspora","moumdiaspora",0.103,-0.987162775294828,5.4,5.4,5.1,1.32275955284961,0.02439621325,-1.61267757908161,-0.625514803786786,44.12992513,1.64473319063198,2.63189596592681,"diaspore"
"237","moum","diaspora","moumdiaspora",0.1307,-0.883724412419456,5.6,6.1,5.5,1.32860662521465,0.035083527,-1.45489675283051,-0.571172340411051,69.1368827,1.839709793825,2.72343420624446,"diaspore"
"238","moum","diaspora","moumdiaspora",0.1349,-0.869988050328096,5.5,5.8,5.4,1.49564624333659,0.027234744,-1.56487670263465,-0.694888652306553,47.56225264,1.67726241545788,2.54725046578598,"diaspore"
"239","mucm","diaspora","mucmdiaspora",7.814,0.892873406888766,30.4,26.5,17.3,1.07080212384987,2.071111767,0.316203536112968,-0.576669870775797,1103.248128,3.0426731992056,2.14979979231684,"diaspore"
"240","mucm","diaspora","mucmdiaspora",9.3638,0.971452129092936,32.2,27.5,18.7,1.0799989536403,2.2120021735,0.34478554936801,-0.626666579724926,1240.541229,3.09361120248944,2.12215907339651,"diaspore"
"241","mucm","diaspora","mucmdiaspora",9.662,0.985067033150501,30,29.4,19.8,1.05665846227849,1.79196908925,0.253330513984623,-0.731736519165878,965.9550278,2.98495690733376,1.99988987418326,"diaspore"
"242","mucm","diaspora","mucmdiaspora",7.2775,0.861982214110848,28.2,25.1,18.3,1.07302458423603,1.789992812,0.252851287005031,-0.609130927105818,1068.924853,3.02894717473677,2.16696496062592,"diaspore"
"243","mucm","diaspora","mucmdiaspora",9.7195,0.987643924100533,31.3,29,19.2,1.06512784330015,1.827222719,0.261791486453557,-0.725852437646976,921.8251027,2.964648530449,1.97700460634847,"diaspore"
"244","mucm","diaspora","mucmdiaspora",6.6894,0.825387165843325,27.3,25,17.8,1.05163706760728,1.29583484325,0.112549653358777,-0.712837512484548,902.2118026,2.95530850417438,2.12992133833105,"diaspore"
"245","mucm","diaspora","mucmdiaspora",9.4467,0.975280123632554,31.5,29.1,18.5,1.06391328063701,2.7552036025,0.440153697625204,-0.53512642600735,1166.991353,3.06706763808625,2.09178751445369,"diaspore"
"246","mucm","diaspora","mucmdiaspora",9.1399,0.960941444127073,30.3,28.3,18.3,1.11240432330472,1.53218355025,0.185310795378671,-0.775630648748402,1255.251204,3.09873064660907,2.13778920248199,"diaspore"
"247","mucm","diaspora","mucmdiaspora",8.4347,0.926069640492239,30.3,25.9,18.7,1.09770847958972,1.8943447925,0.277459028443385,-0.648610612048855,1162.088028,3.06523902704455,2.13916938655231,"diaspore"
"248","myrz","diaspora","myrzdiaspora",0.9352,-0.0290955018462163,14.9,10,7.6,1.57726989875882,0.0800294995,-1.09674989915087,-1.06765439730466,102.9698253,2.01270997591251,2.04180547775873,"diaspore"
"249","myrz","diaspora","myrzdiaspora",0.8951,-0.0481284428716356,14.5,9.9,9.8,1.21518853186237,0.23562046825,-0.627786985268996,-0.57965854239736,181.4230255,2.25869240517719,2.30682084804883,"diaspore"
"250","myrz","diaspora","myrzdiaspora",1.0426,0.0181177205910003,16.1,9.9,7.9,1.58136068127721,0.430939151,-0.365584048286035,-0.383701768877035,225.5529507,2.35324851294269,2.33513079235169,"diaspore"
"251","myrz","diaspora","myrzdiaspora",1.0481,0.0204027209838782,15.8,9.9,8.2,1.56062286203762,0.0334637365,-1.47542556813357,-1.49582828911745,63.74322519,1.80443403351463,1.78403131253075,"diaspore"
"252","myrz","diaspora","myrzdiaspora",0.9528,-0.0209982515252789,14.6,10.1,8,1.54254879063432,0.1318445055,-0.879937964321454,-0.858939712796175,127.4864504,2.10546402924674,2.12646228077202,"diaspore"
"253","myrz","diaspora","myrzdiaspora",0.9565,-0.0193150256366853,14.8,9.9,7.9,1.57820113278593,0.05040134075,-1.29755791052706,-1.27824288489037,83.35652524,1.92093960254198,1.94025462817867,"diaspore"
